created_at,mac,rssi,interface
2022-04-06 12:12:19.315539,D8:01:00:07:6B:5C,-88,ESP32_8
2022-04-06 12:12:22.062081,DC:2C:6E:18:84:EB,-88,ESP32_1
2022-04-06 12:12:22.186831,DF:99:1C:50:22:47,-89,ESP32_1
2022-04-06 12:12:23.092527,D8:01:00:07:6B:5C,-91,ESP32_8
2022-04-06 12:12:23.097937,D8:01:00:07:6B:5C,-95,ESP32_7
2022-04-06 12:12:23.141922,D8:01:00:07:6B:5C,-82,ESP32_2
2022-04-06 12:12:23.275172,D8:01:00:07:6B:5C,-97,ESP32_1
2022-04-06 12:12:23.922425,DC:2C:6E:18:84:EB,-95,ESP32_8
2022-04-06 12:12:23.938216,DC:2C:6E:18:84:EB,-92,ESP32_2
2022-04-06 12:12:26.960768,DC:2C:6E:18:84:EB,-84,ESP32_1
2022-04-06 12:12:27.169770,D8:01:00:07:6B:5C,-92,ESP32_1
2022-04-06 12:12:29.037841,DC:2C:6E:18:84:EB,-89,ESP32_2
2022-04-06 12:12:29.518630,D8:01:00:07:6B:5C,-94,ESP32_1
2022-04-06 12:12:29.844280,DC:2C:6E:18:84:EB,-97,ESP32_8
2022-04-06 12:12:29.865135,DF:99:1C:50:22:47,-90,ESP32_2
2022-04-06 12:12:29.886461,DC:2C:6E:18:84:EB,-95,ESP32_5
2022-04-06 12:12:32.125769,D8:01:00:07:6B:5C,-88,ESP32_5
2022-04-06 12:12:32.141852,D8:01:00:07:6B:5C,-91,ESP32_8
2022-04-06 12:12:32.936251,DC:2C:6E:18:84:EB,-84,ESP32_8
2022-04-06 12:12:32.953260,DC:2C:6E:18:84:EB,-94,ESP32_2
2022-04-06 12:12:33.939485,DC:2C:6E:18:84:EB,-92,ESP32_2
2022-04-06 12:12:37.945175,DC:2C:6E:18:84:EB,-95,ESP32_8
2022-04-06 12:12:38.682967,D8:01:00:07:6B:5C,-89,ESP32_8
2022-04-06 12:12:38.963887,D8:01:00:07:6B:5C,-93,ESP32_2
2022-04-06 12:12:39.979553,D8:01:00:07:6B:5C,-96,ESP32_1
2022-04-06 12:12:41.241127,D8:01:00:07:6B:5C,-83,ESP32_2
2022-04-06 12:12:41.943308,DC:2C:6E:18:84:EB,-95,ESP32_5
2022-04-06 12:12:41.948865,DC:2C:6E:18:84:EB,-89,ESP32_2
2022-04-06 12:12:42.886885,DC:2C:6E:18:84:EB,-97,ESP32_8
2022-04-06 12:12:42.968931,DC:2C:6E:18:84:EB,-97,ESP32_2
2022-04-06 12:12:43.596910,D8:01:00:07:6B:5C,-91,ESP32_8
2022-04-06 12:12:45.213625,DF:99:1C:50:22:47,-92,ESP32_2
